matchId,queueId,gameDuration,gameStartTimestamp,summonerName,teamId,championName,kills,deaths,assists,kda,totalMinionsKilled,totalDamageTaken,totalDamageDealtToChampions,goldEarned,visionScore,summoner1Id,summoner2Id,firstTowerKill,firstBloodAssist,firstBloodKill,champExperience,doubleKills,tripleKills,quadraKills,pentaKills,win,gameDurationMin,gameStartTime,gameStartTimeFormatted
BR1_3057074474,420,2035,1737669659608,Arthur Lanches,200,Teemo,11,3,20,10.33,223,31385,39111,17025,26,4,14,False,False,False,22743,1,0,0,0,True,33.9,2025-01-23 22:00:59.608,2025-01-23 22:00:59
BR1_3057024071,420,1912,1737664538123,Arthur Lanches,100,Teemo,1,3,9,3.33,222,24804,29172,12837,23,4,14,True,False,False,16679,0,0,0,0,True,31.9,2025-01-23 20:35:38.123,2025-01-23 20:35:38
BR1_3056999563,420,1518,1737661817703,Arthur Lanches,200,Teemo,6,1,6,12.0,211,11857,23485,12323,10,4,14,False,False,True,15215,0,0,0,0,True,25.3,2025-01-23 19:50:17.703,2025-01-23 19:50:17
BR1_3056990424,420,1562,1737659645320,Arthur Lanches,100,Teemo,2,2,3,2.5,221,16755,28710,10112,13,4,14,False,False,False,12291,0,0,0,0,False,26.0,2025-01-23 19:14:05.320,2025-01-23 19:14:05
BR1_3056974803,420,1683,1737657048006,Arthur Lanches,100,Teemo,2,9,6,0.89,184,25255,26191,8969,23,4,14,False,False,False,12513,0,0,0,0,False,28.0,2025-01-23 18:30:48.006,2025-01-23 18:30:48
BR1_3056966278,420,912,1737655093584,Arthur Lanches,100,Teemo,1,3,1,0.67,117,8017,10457,5251,14,4,14,False,False,False,7207,0,0,0,0,False,15.2,2025-01-23 17:58:13.584,2025-01-23 17:58:13
BR1_3056950629,420,1525,1737652331521,Arthur Lanches,100,Teemo,9,1,7,16.0,176,18915,19692,12732,16,4,14,True,False,False,14574,1,0,0,0,True,25.4,2025-01-23 17:12:11.521,2025-01-23 17:12:11
BR1_3056813334,420,1543,1737600019858,Arthur Lanches,200,Teemo,7,2,7,7.0,202,11850,27668,11607,14,4,14,False,False,True,15642,0,0,0,0,True,25.7,2025-01-23 02:40:19.858,2025-01-23 02:40:19
BR1_3056679867,420,2450,1737585052895,Arthur Lanches,200,Teemo,9,1,16,25.0,311,24677,54124,19446,19,4,14,False,False,False,24901,1,0,0,0,True,40.8,2025-01-22 22:30:52.895,2025-01-22 22:30:52
BR1_3056669509,420,867,1737583636808,Arthur Lanches,200,Teemo,4,0,0,4.0,128,3064,7883,6423,7,4,14,False,False,False,8942,0,0,0,0,True,14.4,2025-01-22 22:07:16.808,2025-01-22 22:07:16
BR1_3056643808,420,1463,1737580021042,Arthur Lanches,200,Teemo,1,2,4,2.5,205,16298,20093,9070,18,4,14,False,False,False,12127,0,0,0,0,False,24.4,2025-01-22 21:07:01.042,2025-01-22 21:07:01
BR1_3056629754,420,1428,1737577827398,Arthur Lanches,100,Ornn,3,2,11,7.0,148,27214,21521,8766,11,4,12,False,False,False,12195,1,0,0,0,True,23.8,2025-01-22 20:30:27.398,2025-01-22 20:30:27
BR1_3056619430,420,1355,1737575727077,Arthur Lanches,200,Teemo,1,3,5,2.0,193,13358,14637,10164,13,4,14,False,False,False,11745,0,0,0,0,True,22.6,2025-01-22 19:55:27.077,2025-01-22 19:55:27
BR1_3056603069,420,2567,1737572778786,Arthur Lanches,100,Teemo,11,7,15,3.71,236,40020,72595,16268,24,4,14,False,False,False,19587,1,0,0,0,True,42.8,2025-01-22 19:06:18.786,2025-01-22 19:06:18
BR1_3056587555,420,1956,1737569897615,Arthur Lanches,100,Ornn,4,5,8,2.4,203,47015,25207,13098,23,4,12,False,False,False,16238,0,0,0,0,False,32.6,2025-01-22 18:18:17.615,2025-01-22 18:18:17
BR1_3056572498,420,2020,1737566903085,Arthur Lanches,200,Teemo,8,3,2,3.33,269,24869,31513,14952,19,4,14,True,False,False,17781,0,0,0,0,False,33.7,2025-01-22 17:28:23.085,2025-01-22 17:28:23
BR1_3056562248,420,1495,1737564910471,Arthur Lanches,100,Teemo,5,1,4,9.0,211,8146,18757,10403,11,4,14,False,False,True,15172,0,0,0,0,True,24.9,2025-01-22 16:55:10.471,2025-01-22 16:55:10
BR1_3056297349,420,2591,1737498890771,Arthur Lanches,100,Teemo,10,5,8,3.6,284,38386,61402,18922,41,4,14,False,False,False,24697,1,1,0,0,False,43.2,2025-01-21 22:34:50.771,2025-01-21 22:34:50
BR1_3056274825,420,2016,1737496124140,Arthur Lanches,100,Teemo,9,5,11,4.0,262,23275,40662,15212,13,6,14,False,True,False,21800,0,0,0,0,True,33.6,2025-01-21 21:48:44.140,2025-01-21 21:48:44
BR1_3056258604,420,1680,1737493693383,Arthur Lanches,200,Teemo,7,5,2,1.8,221,16425,26102,12782,20,4,14,False,False,False,15005,1,0,0,0,False,28.0,2025-01-21 21:08:13.383,2025-01-21 21:08:13
BR1_3056244802,420,1415,1737491402195,Arthur Lanches,200,Teemo,4,3,5,3.0,162,11618,13476,9497,13,4,14,False,False,True,13455,0,0,0,0,True,23.6,2025-01-21 20:30:02.195,2025-01-21 20:30:02
BR1_3056233795,420,912,1737489696744,Arthur Lanches,200,Teemo,2,0,0,2.0,136,5678,9693,6297,6,4,14,False,False,False,8758,0,0,0,0,True,15.2,2025-01-21 20:01:36.744,2025-01-21 20:01:36
BR1_3055908330,420,1876,1737412595982,Arthur Lanches,200,Teemo,7,7,4,1.57,234,24133,33781,13063,21,4,14,False,False,False,15303,0,0,0,0,False,31.3,2025-01-20 22:36:35.982,2025-01-20 22:36:35
