matchId,queueId,gameDuration,summonerName,teamId,championName,kills,deaths,assists,kda,totalMinionsKilled,totalDamageTaken,totalDamageDealtToChampions,goldEarned,visionScore,summoner1Id,summoner2Id,firstTowerKill,firstBloodAssist,firstBloodKill,champExperience,doubleKills,tripleKills,quadraKills,pentaKills,win,gameDurationMin,gameStartTime
BR1_3066283114,420,1696,,0,Teemo,6,7,9,2.14,191,23235,35433,11604,12,4,14,False,False,False,15186,1,0,0,0,False,28.3,2025-02-13 21:02:46.908
BR1_3066260304,420,1484,,0,Teemo,6,2,8,7.0,168,13447,20489,10445,13,4,14,False,False,False,15123,0,0,0,0,True,24.7,2025-02-13 19:54:01.545
BR1_3066246152,420,1969,,0,Teemo,5,4,11,4.0,188,21229,24675,13007,23,4,14,False,True,False,16909,0,0,0,0,True,32.8,2025-02-13 19:08:13.973
BR1_3066231574,420,1409,,1,Teemo,0,5,5,1.0,208,20639,16903,8170,10,4,14,False,False,False,12355,0,0,0,0,False,23.5,2025-02-13 18:23:59.796
BR1_3065897622,420,1760,,0,Teemo,3,8,7,1.25,158,23994,28200,9403,15,4,14,False,False,False,12672,0,0,0,0,False,29.3,2025-02-12 18:45:03.944
BR1_3065884946,420,1413,,0,Teemo,2,5,7,1.8,141,19476,16848,8352,14,4,14,False,False,False,9886,0,0,0,0,False,23.6,2025-02-12 18:02:25.324
BR1_3065872860,420,927,,0,Teemo,4,0,3,7.0,136,4477,9382,7247,7,4,14,False,False,False,8498,1,0,0,0,True,15.4,2025-02-12 17:15:00.299
BR1_3065858483,420,1027,,1,Teemo,3,0,2,5.0,129,5364,8011,6795,9,4,14,True,False,False,9576,0,0,0,0,True,17.1,2025-02-12 16:14:04.850
BR1_3065623264,420,1779,,0,Teemo,4,1,14,18.0,220,16718,28321,12581,15,4,14,True,False,False,17558,0,0,0,0,True,29.6,2025-02-11 22:19:39.156
BR1_3065596330,420,1729,,0,Teemo,9,2,13,11.0,204,14979,29246,12713,15,4,14,False,False,False,17317,2,0,0,0,True,28.8,2025-02-11 21:12:20.824
BR1_3065572843,420,1945,,0,Ornn,3,4,24,6.75,190,39444,20045,13445,23,4,12,False,False,False,18458,0,0,0,0,True,32.4,2025-02-11 20:00:49.635
BR1_3065555703,420,2512,,0,Teemo,9,7,21,4.29,281,34354,51180,18845,28,4,14,False,False,True,25379,1,0,0,0,False,41.9,2025-02-11 19:02:16.778
BR1_3065540532,420,1849,,1,Teemo,5,7,5,1.43,180,23571,25407,10581,18,4,14,False,False,False,15198,0,0,0,0,False,30.8,2025-02-11 18:09:56.104
BR1_3065531392,420,960,,1,Teemo,2,0,1,3.0,140,5229,8460,6566,8,4,14,True,False,False,8431,0,0,0,0,True,16.0,2025-02-11 17:37:39.049
BR1_3065288045,420,1039,,1,Nami,0,3,6,2.0,8,8561,4528,4735,28,4,14,False,False,False,4965,0,0,0,0,True,17.3,2025-02-10 22:51:43.450
BR1_3065264570,420,1659,,0,Teemo,3,2,11,7.0,173,15922,18129,9669,20,4,14,False,False,False,14021,0,0,0,0,True,27.6,2025-02-10 22:03:06.693
BR1_3065245563,420,1581,,0,Varus,5,11,3,0.73,159,25969,20614,9015,13,4,6,False,False,False,9926,0,0,0,0,False,26.4,2025-02-10 21:11:09.895
BR1_3065223256,420,1781,,1,Teemo,2,2,5,3.5,229,20784,22746,11119,22,4,14,False,False,False,15168,0,0,0,0,True,29.7,2025-02-10 20:00:29.421
BR1_3065206994,420,1344,,1,Teemo,8,1,10,18.0,178,11589,18113,11374,8,4,6,False,False,True,12651,1,0,0,0,True,22.4,2025-02-10 19:17:55.816
BR1_3065188899,420,1468,,1,Varus,2,6,2,0.67,165,14757,11354,7886,17,4,21,False,False,False,10886,0,0,0,0,False,24.5,2025-02-10 18:16:50.916
BR1_3065177814,420,1451,,1,Teemo,3,1,6,9.0,173,9348,12994,9458,20,4,14,False,False,False,13213,0,0,0,0,True,24.2,2025-02-10 17:31:25.471
BR1_3064959684,420,1442,,0,Teemo,6,4,2,2.0,196,14593,22604,10534,10,4,14,False,False,False,13388,1,0,0,0,False,24.0,2025-02-09 23:40:51.448
BR1_3064931563,420,1722,,1,Teemo,4,4,4,2.0,234,20319,22964,12198,23,4,14,False,False,True,15282,0,0,0,0,False,28.7,2025-02-09 22:48:31.218
BR1_3064903860,420,1105,,1,Malphite,5,0,5,10.0,140,5624,11330,9355,11,4,12,False,False,False,9928,1,0,0,0,True,18.4,2025-02-09 22:01:07.525
BR1_3064874392,420,2099,,0,Teemo,4,5,13,3.4,240,27627,38049,13544,31,4,14,False,False,False,19827,0,0,0,0,True,35.0,2025-02-09 21:00:19.180
BR1_3064482262,420,1890,,1,Teemo,8,7,8,2.29,197,25240,35449,14023,21,4,14,False,False,False,17786,1,1,1,0,True,31.5,2025-02-08 23:29:02.716
